Experiment 1 & 2 (Number of vertices)
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+------------+---------+
|  # | Vertices | Edges | Unconnected Vertices | Exhaustive Time Taken | Genetic Time Taken | Genetic Accuracy | Exhaustive | Genetic |
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+------------+---------+
|  1 |       10 |    40 |                    0 |          0.004986048s |       0.162455559s |            False |          9 |       8 |
|  2 |       10 |    40 |                    0 |          0.006980896s |       0.155613422s |             True |          8 |       8 |
|  3 |       10 |    40 |                    0 |          0.005984545s |       0.165893555s |             True |          8 |       8 |
|  4 |       10 |    40 |                    0 |          0.006981134s |       0.156193972s |             True |          8 |       8 |
|  5 |       10 |    40 |                    0 |          0.006952286s |       0.158077955s |             True |          8 |       8 |
|  6 |       11 |    40 |                    0 |          0.016038418s |       0.384240150s |             True |          8 |       8 |
|  7 |       11 |    40 |                    0 |          0.012964725s |       0.345481396s |            False |          9 |       8 |
|  8 |       11 |    40 |                    0 |          0.012028217s |       0.158460617s |             True |          9 |       9 |
|  9 |       11 |    40 |                    0 |          0.014442682s |       0.364816189s |            False |          9 |       8 |
| 10 |       11 |    40 |                    0 |          0.016954184s |       0.333109379s |            False |          9 |       8 |
| 11 |       12 |    40 |                    0 |          0.035903931s |       0.178522348s |             True |          9 |       9 |
| 12 |       12 |    40 |                    0 |          0.022937059s |       0.188004971s |            False |         10 |       8 |
| 13 |       12 |    40 |                    0 |          0.025931120s |       0.352394819s |            False |         10 |       8 |
| 14 |       12 |    40 |                    0 |          0.040856361s |       0.365488529s |             True |          8 |       8 |
| 15 |       12 |    40 |                    0 |          0.031882048s |       0.177151203s |             True |          9 |       9 |
| 16 |       13 |    40 |                    0 |          0.073802710s |       0.783670187s |             True |          9 |       9 |
| 17 |       13 |    40 |                    0 |          0.054879427s |       0.464772701s |            False |         10 |       8 |
| 18 |       13 |    40 |                    0 |          0.059812546s |       0.492799282s |            False |         10 |       8 |
| 19 |       13 |    40 |                    0 |          0.074870110s |       0.756975174s |             True |          9 |       9 |
| 20 |       13 |    40 |                    0 |          0.068816185s |       1.102181196s |             True |          9 |       9 |
| 21 |       14 |    40 |                    0 |          0.176527977s |       0.440757990s |             True |          9 |       9 |
| 22 |       14 |    40 |                    0 |          0.153333187s |       0.744532108s |             True |          9 |       9 |
| 23 |       14 |    40 |                    0 |          0.149600506s |       0.860339165s |            False |         10 |       9 |
| 24 |       14 |    40 |                    0 |          0.158548117s |       0.476723671s |             True |          9 |       9 |
| 25 |       14 |    40 |                    0 |          0.159081697s |       0.920723677s |            False |         10 |       9 |
| 26 |       15 |    40 |                    0 |          0.207438231s |       0.835408688s |             True |          9 |       9 |
| 27 |       15 |    40 |                    0 |          0.314266682s |       0.804848433s |             True |         10 |      10 |
| 28 |       15 |    40 |                    0 |          0.248334646s |       1.380248308s |            False |         11 |      10 |
| 29 |       15 |    40 |                    0 |          0.360008717s |       0.768334866s |             True |         10 |      10 |
| 30 |       15 |    40 |                    0 |          0.368535042s |       1.204818010s |             True |         10 |      10 |
| 31 |       16 |    40 |                    0 |          0.767917633s |       0.845746279s |             True |         10 |      10 |
| 32 |       16 |    40 |                    0 |          0.680093050s |       0.859817266s |             True |         10 |      10 |
| 33 |       16 |    40 |                    0 |          0.823338985s |       1.048254251s |             True |         10 |      10 |
| 34 |       16 |    40 |                    0 |          0.480232239s |       0.731737852s |             True |          9 |       9 |
| 35 |       16 |    40 |                    0 |          0.697553396s |       0.828543186s |             True |         10 |      10 |
| 36 |       17 |    40 |                    0 |          1.521109104s |       0.790533543s |            False |         11 |       9 |
| 37 |       17 |    40 |                    0 |          0.945672274s |       0.703988075s |             True |         10 |      10 |
| 38 |       17 |    40 |                    0 |          0.831876755s |       0.465162754s |             True |         10 |      10 |
| 39 |       17 |    40 |                    0 |          1.412374020s |       0.920934200s |             True |         11 |      11 |
| 40 |       17 |    40 |                    0 |          0.880322218s |       0.539222956s |             True |         10 |      10 |
| 41 |       18 |    40 |                    0 |          3.292594910s |       1.661465168s |             True |         11 |      11 |
| 42 |       18 |    40 |                    0 |          2.719746828s |       1.347907782s |             True |          9 |       9 |
| 43 |       18 |    40 |                    0 |          3.170728445s |       0.793846846s |             True |         11 |      11 |
| 44 |       18 |    40 |                    0 |          3.480408907s |       0.881138802s |             True |         11 |      11 |
| 45 |       18 |    40 |                    0 |          3.128759861s |       0.843477249s |             True |         11 |      11 |
| 46 |       19 |    40 |                    0 |          4.664068222s |       0.848702669s |             True |         11 |      11 |
| 47 |       19 |    40 |                    0 |          6.033430576s |       1.443126202s |             True |         10 |      10 |
| 48 |       19 |    40 |                    0 |          6.623996496s |       1.759974003s |             True |         10 |      10 |
| 49 |       19 |    40 |                    0 |          3.389490366s |       0.847130775s |             True |         11 |      11 |
| 50 |       19 |    40 |                    0 |          3.539858818s |       0.843804121s |             True |         11 |      11 |
| 51 |       20 |    40 |                    0 |          9.328185320s |       1.642137289s |             True |         11 |      11 |
| 52 |       20 |    40 |                    0 |         12.653028250s |       1.839248896s |             True |         13 |      13 |
| 53 |       20 |    40 |                    0 |         13.717592478s |       0.890309811s |             True |         12 |      12 |
| 54 |       20 |    40 |                    0 |         10.224625587s |       1.052157879s |             True |         11 |      11 |
| 55 |       20 |    40 |                    0 |         14.696629047s |       0.755056620s |             True |         12 |      12 |
| 56 |       21 |    40 |                    0 |         26.779607534s |       1.762472868s |             True |         11 |      11 |
| 57 |       21 |    40 |                    0 |         14.894706726s |       1.019034147s |             True |         12 |      12 |
| 58 |       21 |    40 |                    0 |         18.197241545s |       0.970902205s |             True |         12 |      12 |
| 59 |       21 |    40 |                    0 |         31.481786251s |       1.720623732s |            False |         11 |      10 |
| 60 |       21 |    40 |                    0 |         30.331883192s |       1.748892784s |             True |         11 |      11 |
| 61 |       22 |    40 |                    0 |         31.812751055s |       1.971987724s |            False |         12 |      10 |
| 62 |       22 |    40 |                    0 |         35.593649149s |       1.764393806s |             True |         12 |      12 |
| 63 |       22 |    40 |                    0 |         58.193158627s |       1.368597507s |            False |         13 |      12 |
| 64 |       22 |    40 |                    0 |         41.195220470s |       1.717179060s |             True |         12 |      12 |
| 65 |       22 |    40 |                    0 |         65.210292578s |       1.242347479s |             True |         13 |      13 |
| 66 |       23 |    40 |                    0 |         63.978561401s |       2.524193525s |             True |         13 |      13 |
| 67 |       23 |    40 |                    0 |         87.218002796s |       2.750103712s |             True |         12 |      12 |
| 68 |       23 |    40 |                    0 |        117.213872910s |       1.527477980s |             True |         12 |      12 |
| 69 |       23 |    40 |                    0 |        109.511980295s |       2.105208158s |            False |         12 |      11 |
