Experiment 3 & 4 (Number of edges)
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+
|  # | Vertices | Edges | Unconnected Vertices | Exhaustive Time Taken | Genetic Time Taken | Genetic Accuracy |
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+
|  1 |       20 |    30 |                    0 |         11.922730923s |       1.595112801s |            False |
|  2 |       20 |    30 |                    0 |          5.617170095s |       1.171450138s |             True |
|  3 |       20 |    30 |                    0 |          9.795183420s |       0.886082172s |             True |
|  4 |       20 |    30 |                    0 |         11.228177547s |       1.172490835s |             True |
|  5 |       20 |    30 |                    0 |          7.725626469s |       0.671584606s |            False |
|  6 |       20 |    33 |                    0 |         14.772166967s |       1.417767525s |             True |
|  7 |       20 |    33 |                    0 |         13.599118710s |       1.331370354s |            False |
|  8 |       20 |    33 |                    0 |         12.950753450s |       0.972727776s |            False |
|  9 |       20 |    33 |                    0 |          6.685965300s |       1.365367651s |             True |
| 10 |       20 |    33 |                    0 |          8.138150215s |       1.053185225s |             True |
| 11 |       20 |    36 |                    0 |         13.942243814s |       0.935551167s |             True |
| 12 |       20 |    36 |                    0 |          9.372435808s |       1.709676981s |             True |
| 13 |       20 |    36 |                    0 |          6.746612072s |       1.103816748s |            False |
| 14 |       20 |    36 |                    0 |         16.118768215s |       1.641220808s |             True |
| 15 |       20 |    36 |                    0 |         11.591003418s |       1.874269247s |             True |
| 16 |       20 |    39 |                    0 |         12.446598530s |       1.602333307s |            False |
| 17 |       20 |    39 |                    0 |          9.687680244s |       1.732193947s |            False |
| 18 |       20 |    39 |                    0 |          9.560488701s |       1.269773245s |             True |
| 19 |       20 |    39 |                    0 |         15.592708111s |       1.589002132s |            False |
| 20 |       20 |    39 |                    0 |         10.701203346s |       1.279579163s |             True |
| 21 |       20 |    42 |                    0 |         13.537092686s |       1.690533400s |             True |
| 22 |       20 |    42 |                    0 |          7.420161486s |       1.127981901s |             True |
| 23 |       20 |    42 |                    0 |         13.673122883s |       1.151058435s |             True |
| 24 |       20 |    42 |                    0 |         15.584317207s |       2.028045177s |            False |
| 25 |       20 |    42 |                    0 |          7.566622496s |       1.838165998s |            False |
| 26 |       20 |    45 |                    0 |          7.505875349s |       1.196285725s |             True |
| 27 |       20 |    45 |                    0 |          7.649353504s |       1.922310114s |             True |
| 28 |       20 |    45 |                    0 |          8.894499063s |       1.535064697s |             True |
| 29 |       20 |    45 |                    0 |         13.530731916s |       1.622202158s |             True |
| 30 |       20 |    45 |                    0 |          8.609565973s |       1.365226269s |             True |
| 31 |       20 |    48 |                    0 |          6.922056675s |       2.365811586s |            False |
| 32 |       20 |    48 |                    0 |          9.769754648s |       1.624374390s |            False |
| 33 |       20 |    48 |                    0 |         12.576772451s |       1.107388020s |            False |
| 34 |       20 |    48 |                    0 |         14.144862890s |       1.157631397s |             True |
| 35 |       20 |    48 |                    0 |         14.276398420s |       1.890130043s |             True |
| 36 |       20 |    51 |                    0 |         15.947379589s |       0.988066196s |             True |
| 37 |       20 |    51 |                    0 |         12.863688707s |       1.558609724s |             True |
| 38 |       20 |    51 |                    0 |         14.071380854s |       1.995056629s |             True |
| 39 |       20 |    51 |                    0 |         16.136784554s |       2.161019087s |             True |
| 40 |       20 |    51 |                    0 |         13.074407101s |       1.722584724s |             True |
