Experiment 5 & 6 (Number of unconnected vertices)
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+
|  # | Vertices | Edges | Unconnected Vertices | Exhaustive Time Taken | Genetic Time Taken | Genetic Accuracy |
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+
|  1 |       25 |    30 |                    1 |        152.229248524s |       0.832469463s |             True |
|  2 |       25 |    30 |                    1 |        363.018590689s |       0.392411232s |             True |
|  3 |       25 |    30 |                    1 |        230.472550631s |       1.792146921s |             True |
|  4 |       25 |    30 |                    1 |        376.659922600s |       1.639971256s |            False |
|  5 |       25 |    30 |                    1 |        141.661619902s |       1.613890171s |             True |
|  6 |       25 |    30 |                    2 |        149.434741735s |       1.598839283s |             True |
|  7 |       25 |    30 |                    2 |        179.218418837s |       2.189146042s |            False |
|  8 |       25 |    30 |                    2 |        172.107499838s |       1.871993780s |             True |
|  9 |       25 |    30 |                    2 |        338.607546806s |       1.486023903s |             True |
| 10 |       25 |    30 |                    2 |        107.101648092s |       1.393274784s |             True |
| 11 |       25 |    30 |                    3 |        318.672133684s |       1.589754820s |             True |
| 12 |       25 |    30 |                    3 |        154.496823311s |       1.500986576s |             True |
| 13 |       25 |    30 |                    3 |        332.945868254s |       2.584561825s |            False |
| 14 |       25 |    30 |                    3 |        159.338287830s |       1.992615700s |             True |
| 15 |       25 |    30 |                    3 |        163.443476200s |       1.499689817s |             True |
| 16 |       25 |    30 |                    4 |         97.299454927s |       1.978693962s |             True |
| 17 |       25 |    30 |                    4 |         92.576461792s |       2.810295343s |             True |
| 18 |       25 |    30 |                    4 |         97.642343998s |       2.460941076s |             True |
| 19 |       25 |    30 |                    4 |         97.118577719s |       1.913081884s |             True |
| 20 |       25 |    30 |                    4 |         59.182479143s |       0.942243099s |             True |
| 21 |       25 |    30 |                    5 |         56.292924881s |       1.699565411s |             True |
| 22 |       25 |    30 |                    5 |         55.087511301s |       1.673251152s |             True |
| 23 |       25 |    30 |                    5 |         98.915566683s |       1.919421911s |             True |
| 24 |       25 |    30 |                    5 |         95.118692398s |       1.746534586s |             True |
| 25 |       25 |    30 |                    5 |        149.798187733s |       1.796098709s |             True |
| 26 |       25 |    30 |                    6 |         92.618507862s |       1.812614441s |            False |
| 27 |       25 |    30 |                    6 |         94.230815649s |       1.695912361s |            False |
| 28 |       25 |    30 |                    6 |         97.190017462s |       1.552398682s |            False |
| 29 |       25 |    30 |                    6 |         57.863650084s |       1.615100861s |             True |
| 30 |       25 |    30 |                    6 |         16.436113834s |       1.653701544s |             True |
| 31 |       25 |    30 |                    7 |         93.137213469s |       1.910575151s |             True |
| 32 |       25 |    30 |                    7 |         94.479332209s |       1.463065624s |             True |
| 33 |       25 |    30 |                    7 |         92.401731253s |       2.871292114s |             True |
| 34 |       25 |    30 |                    7 |         96.263680696s |       1.546835423s |             True |
| 35 |       25 |    30 |                    7 |         53.232432842s |       1.553902864s |             True |
| 36 |       25 |    30 |                    8 |         53.411725044s |       1.628984928s |             True |
| 37 |       25 |    30 |                    8 |         93.636669874s |       1.832073927s |            False |
| 38 |       25 |    30 |                    8 |         92.946980238s |       1.610749483s |            False |
| 39 |       25 |    30 |                    8 |         52.302013874s |       1.496027946s |             True |
| 40 |       25 |    30 |                    8 |         54.073992491s |       1.722428083s |            False |
| 41 |       25 |    30 |                    9 |         92.748088360s |       3.032890320s |            False |
| 42 |       25 |    30 |                    9 |         52.879710197s |       1.869998932s |             True |
| 43 |       25 |    30 |                    9 |        147.920543909s |       2.055502176s |            False |
| 44 |       25 |    30 |                    9 |         50.826576471s |       1.780239105s |             True |
| 45 |       25 |    30 |                    9 |         90.905343294s |       1.613653898s |            False |
| 46 |       25 |    30 |                   10 |         50.978457928s |       1.510027170s |             True |
| 47 |       25 |    30 |                   10 |         51.654464483s |       2.564585447s |             True |
| 48 |       25 |    30 |                   10 |         51.235085964s |       1.558530807s |            False |
| 49 |       25 |    30 |                   10 |         51.776659727s |       1.480664015s |            False |
| 50 |       25 |    30 |                   10 |         14.986468077s |       1.595151901s |            False |
