Experiment 3 & 4 (Number of edges)
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+------------+---------+
|  # | Vertices | Edges | Unconnected Vertices | Exhaustive Time Taken | Genetic Time Taken | Genetic Accuracy | Exhaustive | Genetic |
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+------------+---------+
|  1 |       20 |    30 |                    0 |          8.505566359s |       1.531965017s |             True |         11 |      11 |
|  2 |       20 |    30 |                    0 |          6.053836584s |       0.374137878s |             True |          8 |       8 |
|  3 |       20 |    30 |                    0 |          9.650832415s |       1.421963453s |             True |         10 |      10 |
|  4 |       20 |    30 |                    0 |          8.686994791s |       0.882226944s |             True |         11 |      11 |
|  5 |       20 |    30 |                    0 |          6.996456861s |       1.539397955s |            False |         11 |      10 |
|  6 |       20 |    33 |                    0 |         11.132912397s |       0.921500921s |            False |         13 |      11 |
|  7 |       20 |    33 |                    0 |         10.125907898s |       1.141023159s |             True |         10 |      10 |
|  8 |       20 |    33 |                    0 |         12.418667555s |       1.601454973s |             True |         10 |      10 |
|  9 |       20 |    33 |                    0 |         12.897459030s |       1.048724890s |            False |         12 |      11 |
| 10 |       20 |    33 |                    0 |          7.025286913s |       0.926538706s |             True |          9 |       9 |
| 11 |       20 |    36 |                    0 |          7.071897030s |       0.854258299s |             True |         11 |      11 |
| 12 |       20 |    36 |                    0 |         10.943888187s |       1.885665894s |             True |         10 |      10 |
| 13 |       20 |    36 |                    0 |          8.094139814s |       1.633686066s |             True |         11 |      11 |
| 14 |       20 |    36 |                    0 |         10.893827438s |       1.613197088s |            False |         11 |      10 |
| 15 |       20 |    36 |                    0 |          8.069063425s |       1.558263302s |            False |         11 |      12 |
| 16 |       20 |    39 |                    0 |         14.916291714s |       1.268656969s |            False |         12 |      11 |
| 17 |       20 |    39 |                    0 |         13.144661188s |       0.996249199s |             True |         12 |      12 |
| 18 |       20 |    39 |                    0 |         13.500480175s |       0.784870625s |             True |         12 |      12 |
| 19 |       20 |    39 |                    0 |          8.234594822s |       1.343119860s |            False |         11 |      10 |
| 20 |       20 |    39 |                    0 |         10.503433704s |       1.048476458s |             True |         10 |      10 |
| 21 |       20 |    42 |                    0 |          7.328878641s |       1.714807034s |            False |         11 |      10 |
| 22 |       20 |    42 |                    0 |         12.427190304s |       1.234821081s |             True |         10 |      10 |
| 23 |       20 |    42 |                    0 |         14.095087528s |       1.163366795s |            False |         12 |      11 |
| 24 |       20 |    42 |                    0 |          9.863040447s |       1.661727190s |             True |         11 |      11 |
| 25 |       20 |    42 |                    0 |         12.220400333s |       1.598178864s |            False |         13 |      11 |
| 26 |       20 |    45 |                    0 |         14.111298084s |       1.863306999s |             True |         12 |      12 |
| 27 |       20 |    45 |                    0 |          7.215883017s |       1.189613819s |             True |         11 |      11 |
| 28 |       20 |    45 |                    0 |         10.300515175s |       1.625658512s |             True |         11 |      11 |
| 29 |       20 |    45 |                    0 |         12.313348293s |       1.101329088s |            False |         13 |      11 |
| 30 |       20 |    45 |                    0 |         16.330706835s |       2.064066648s |             True |         12 |      12 |
| 31 |       20 |    48 |                    0 |         10.836031437s |       1.888242006s |             True |         11 |      11 |
| 32 |       20 |    48 |                    0 |         12.770355463s |       1.913316965s |             True |         13 |      13 |
| 33 |       20 |    48 |                    0 |          7.984914541s |       1.638370275s |             True |         11 |      11 |
| 34 |       20 |    48 |                    0 |         11.239867210s |       1.832711935s |             True |         10 |      10 |
| 35 |       20 |    48 |                    0 |         14.277165651s |       0.952305794s |             True |         12 |      12 |
| 36 |       20 |    51 |                    0 |         12.894155502s |       1.243275404s |            False |         13 |      12 |
| 37 |       20 |    51 |                    0 |         12.737629414s |       2.011721373s |             True |         13 |      13 |
| 38 |       20 |    51 |                    0 |         15.623665094s |       1.809771776s |             True |         12 |      12 |
| 39 |       20 |    51 |                    0 |         13.082784176s |       1.137936592s |            False |         13 |      12 |
| 40 |       20 |    51 |                    0 |          9.205592155s |       1.222975969s |             True |         11 |      11 |
| 41 |       20 |    54 |                    0 |         13.197405815s |       1.888047695s |             True |         13 |      13 |
| 42 |       20 |    54 |                    0 |         14.568814039s |       1.263767242s |             True |         12 |      12 |
| 43 |       20 |    54 |                    0 |         12.556634188s |       2.058041334s |             True |         13 |      13 |
| 44 |       20 |    54 |                    0 |         12.998587608s |       1.975126028s |             True |         13 |      13 |
| 45 |       20 |    54 |                    0 |         16.035380602s |       0.902105570s |             True |         12 |      12 |
| 46 |       20 |    57 |                    0 |         13.398322582s |       2.357644558s |             True |         13 |      13 |
| 47 |       20 |    57 |                    0 |         11.181917906s |       1.137043476s |            False |         14 |      12 |
| 48 |       20 |    57 |                    0 |         13.072278261s |       1.849400520s |            False |         15 |      13 |
| 49 |       20 |    57 |                    0 |         13.053406954s |       1.893534422s |             True |         13 |      13 |
| 50 |       20 |    57 |                    0 |         14.445317030s |       1.966926575s |            False |         12 |      13 |
| 51 |       20 |    60 |                    0 |         15.973079681s |       1.994792700s |             True |         12 |      12 |
| 52 |       20 |    60 |                    0 |         11.366296530s |       1.920688152s |            False |         14 |      13 |
| 53 |       20 |    60 |                    0 |         11.059323311s |       2.508934975s |            False |         14 |      13 |
| 54 |       20 |    60 |                    0 |         13.886091232s |       1.384052038s |            False |         13 |      12 |
