Experiment 5 & 6 (Number of unconnected vertices)
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+------------+---------+
|  # | Vertices | Edges | Unconnected Vertices | Exhaustive Time Taken | Genetic Time Taken | Genetic Accuracy | Exhaustive | Genetic |
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+------------+---------+
|  1 |       25 |    30 |                    1 |        380.736963749s |       2.400501966s |            False |         13 |      12 |
|  2 |       25 |    30 |                    1 |        392.768651962s |       2.198517561s |             True |         12 |      12 |
|  3 |       25 |    30 |                    1 |        352.364410877s |       1.518428326s |             True |         12 |      12 |
|  4 |       25 |    30 |                    1 |        361.723637104s |       2.566071033s |             True |         12 |      12 |
|  5 |       25 |    30 |                    1 |        355.259934425s |       1.607887983s |             True |         12 |      12 |
|  6 |       25 |    30 |                    2 |        339.867510080s |       2.348746300s |            False |         12 |      11 |
|  7 |       25 |    30 |                    2 |        366.052934170s |       1.719083309s |            False |         13 |      12 |
|  8 |       25 |    30 |                    2 |        346.557631969s |       1.539145231s |             True |         12 |      12 |
|  9 |       25 |    30 |                    2 |         92.053716898s |       2.918443680s |             True |         10 |      10 |
| 10 |       25 |    30 |                    2 |        102.928094864s |       1.789009809s |             True |         10 |      10 |
| 11 |       25 |    30 |                    3 |        150.363505602s |       2.730180264s |             True |         11 |      11 |
| 12 |       25 |    30 |                    3 |        100.950267553s |       1.539179325s |             True |         10 |      10 |
| 13 |       25 |    30 |                    3 |        147.025945902s |       1.809061527s |             True |         11 |      11 |
| 14 |       25 |    30 |                    3 |        145.777762651s |       2.528651953s |            False |         11 |      12 |
| 15 |       25 |    30 |                    3 |        145.268755913s |       1.669108629s |             True |         11 |      11 |
| 16 |       25 |    30 |                    4 |        140.000679016s |       1.559167147s |             True |         11 |      11 |
| 17 |       25 |    30 |                    4 |         89.806580544s |       1.419354439s |             True |         10 |      10 |
| 18 |       25 |    30 |                    4 |        143.189560890s |       1.599153042s |            False |         11 |      10 |
| 19 |       25 |    30 |                    4 |         89.976792336s |       1.799040079s |             True |         10 |      10 |
| 20 |       25 |    30 |                    4 |         87.906638861s |       2.038944244s |             True |         10 |      10 |
| 21 |       25 |    30 |                    5 |         87.592418194s |       2.758561134s |             True |         10 |      10 |
| 22 |       25 |    30 |                    5 |         89.122800589s |       2.798479795s |             True |         10 |      10 |
| 23 |       25 |    30 |                    5 |         87.467467546s |       1.589151621s |             True |         10 |      10 |
| 24 |       25 |    30 |                    5 |        139.975851774s |       1.819030046s |            False |         11 |       9 |
| 25 |       25 |    30 |                    5 |         87.057137012s |       1.759048223s |             True |         10 |      10 |
| 26 |       25 |    30 |                    6 |         86.711565733s |       1.599180937s |             True |         10 |      10 |
| 27 |       25 |    30 |                    6 |         87.916089773s |       1.479211092s |            False |         10 |      11 |
| 28 |       25 |    30 |                    6 |         86.477159500s |       1.958955288s |            False |         10 |       9 |
| 29 |       25 |    30 |                    6 |         86.396079540s |       1.659115553s |             True |         10 |      10 |
| 30 |       25 |    30 |                    6 |        139.069288254s |       1.429238081s |            False |         11 |      10 |
| 31 |       25 |    30 |                    7 |         49.603576422s |       1.139360905s |             True |          9 |       9 |
| 32 |       25 |    30 |                    7 |         85.668872595s |       2.678536415s |             True |         10 |      10 |
| 33 |       25 |    30 |                    7 |         86.190993547s |       2.768524408s |             True |         10 |      10 |
| 34 |       25 |    30 |                    7 |         86.366794348s |       1.639126301s |             True |         10 |      10 |
| 35 |       25 |    30 |                    7 |         87.130829334s |       1.908951998s |             True |         10 |      10 |
| 36 |       25 |    30 |                    8 |        138.348909140s |       1.749038935s |            False |         11 |       8 |
| 37 |       25 |    30 |                    8 |         49.870577335s |       1.663487911s |             True |          9 |       9 |
| 38 |       25 |    30 |                    8 |         49.913377523s |       1.729045153s |             True |          9 |       9 |
