Experiment 1 & 2 (Number of vertices)
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+
|  # | Vertices | Edges | Unconnected Vertices | Exhaustive Time Taken | Genetic Time Taken | Genetic Accuracy |
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+
|  1 |       10 |    40 |                    0 |          0.004987955s |       0.179618835s |            False |
|  2 |       10 |    40 |                    0 |          0.004986525s |       0.161568880s |            False |
|  3 |       10 |    40 |                    0 |          0.009973288s |       0.160570860s |             True |
|  4 |       10 |    40 |                    0 |          0.007978439s |       0.192497253s |            False |
|  5 |       10 |    40 |                    0 |          0.009972572s |       0.366021156s |            False |
|  6 |       11 |    40 |                    0 |          0.022938251s |       0.352095842s |             True |
|  7 |       11 |    40 |                    0 |          0.013112783s |       0.312287807s |            False |
|  8 |       11 |    40 |                    0 |          0.012965202s |       0.300672770s |            False |
|  9 |       11 |    40 |                    0 |          0.014993191s |       0.303315401s |             True |
| 10 |       11 |    40 |                    0 |          0.011967659s |       0.301323414s |            False |
| 11 |       12 |    40 |                    0 |          0.029954433s |       0.304465294s |             True |
| 12 |       12 |    40 |                    0 |          0.034878254s |       0.227612972s |             True |
| 13 |       12 |    40 |                    0 |          0.029949903s |       0.311794043s |             True |
| 14 |       12 |    40 |                    0 |          0.030981779s |       0.305751801s |             True |
| 15 |       12 |    40 |                    0 |          0.035001040s |       0.297717333s |             True |
| 16 |       13 |    40 |                    0 |          0.074813604s |       0.372762918s |             True |
| 17 |       13 |    40 |                    0 |          0.038924456s |       0.779976130s |             True |
| 18 |       13 |    40 |                    0 |          0.055883169s |       0.748634338s |            False |
| 19 |       13 |    40 |                    0 |          0.066852808s |       0.726651669s |             True |
| 20 |       13 |    40 |                    0 |          0.036931276s |       0.408425570s |             True |
| 21 |       14 |    40 |                    0 |          0.128971577s |       0.983503580s |            False |
| 22 |       14 |    40 |                    0 |          0.130651236s |       0.951653481s |            False |
| 23 |       14 |    40 |                    0 |          0.131664753s |       0.956242561s |            False |
| 24 |       14 |    40 |                    0 |          0.106909752s |       0.481173992s |             True |
| 25 |       14 |    40 |                    0 |          0.114694118s |       0.603278160s |             True |
| 26 |       15 |    40 |                    0 |          0.254070520s |       0.626817942s |            False |
| 27 |       15 |    40 |                    0 |          0.309198380s |       0.789785862s |             True |
| 28 |       15 |    40 |                    0 |          0.298452616s |       0.778562784s |             True |
| 29 |       15 |    40 |                    0 |          0.294512033s |       0.734448910s |             True |
| 30 |       15 |    40 |                    0 |          0.407932520s |       0.925772429s |            False |
| 31 |       16 |    40 |                    0 |          0.582632542s |       1.125440359s |             True |
| 32 |       16 |    40 |                    0 |          0.725102663s |       0.866614342s |            False |
| 33 |       16 |    40 |                    0 |          0.789929867s |       0.785923958s |            False |
| 34 |       16 |    40 |                    0 |          0.489243746s |       0.861034393s |            False |
| 35 |       16 |    40 |                    0 |          0.666310072s |       0.843748093s |             True |
| 36 |       17 |    40 |                    0 |          1.483562469s |       0.892905951s |             True |
| 37 |       17 |    40 |                    0 |          1.108020306s |       0.827959061s |            False |
| 38 |       17 |    40 |                    0 |          0.941714048s |       0.492355347s |             True |
| 39 |       17 |    40 |                    0 |          0.814258337s |       0.516104937s |             True |
| 40 |       17 |    40 |                    0 |          1.255041361s |       0.792580605s |            False |
| 41 |       18 |    40 |                    0 |          3.321791172s |       0.872074366s |            False |
| 42 |       18 |    40 |                    0 |          2.287186623s |       1.509373426s |             True |
| 43 |       18 |    40 |                    0 |          2.301929951s |       1.650970459s |             True |
| 44 |       18 |    40 |                    0 |          1.834999561s |       0.776465416s |             True |
| 45 |       18 |    40 |                    0 |          2.998775005s |       0.931060076s |             True |
| 46 |       19 |    40 |                    0 |          7.220942736s |       0.850347281s |             True |
| 47 |       19 |    40 |                    0 |          4.609346867s |       0.795414209s |             True |
| 48 |       19 |    40 |                    0 |          3.855343103s |       1.136052608s |             True |
| 49 |       19 |    40 |                    0 |          7.269791365s |       1.712234735s |            False |
| 50 |       19 |    40 |                    0 |          5.990999222s |       1.957714558s |            False |
| 51 |       20 |    40 |                    0 |          9.844773769s |       1.749653578s |             True |
| 52 |       20 |    40 |                    0 |          9.343195915s |       1.735516310s |             True |
| 53 |       20 |    40 |                    0 |         16.155811071s |       2.037810564s |            False |
| 54 |       20 |    40 |                    0 |         11.175202131s |       1.795072556s |             True |
| 55 |       20 |    40 |                    0 |         12.552772045s |       1.933643341s |            False |
| 56 |       21 |    40 |                    0 |         27.091778755s |       2.056579828s |             True |
| 57 |       21 |    40 |                    0 |         28.279528379s |       1.060801744s |            False |
| 58 |       21 |    40 |                    0 |         15.205187559s |       0.543037176s |             True |
| 59 |       21 |    40 |                    0 |         19.949950933s |       1.128828287s |             True |
| 60 |       21 |    40 |                    0 |         24.717221022s |       1.327706099s |             True |
| 61 |       22 |    40 |                    0 |         44.627965689s |       1.076522112s |             True |
| 62 |       22 |    40 |                    0 |         53.282759905s |       1.788579702s |            False |
| 63 |       22 |    40 |                    0 |         60.338744402s |       1.570145369s |             True |
| 64 |       22 |    40 |                    0 |         33.116452456s |       0.903651237s |            False |
| 65 |       22 |    40 |                    0 |         69.071761608s |       1.695379496s |             True |
| 66 |       23 |    40 |                    0 |         92.149536133s |       2.726510286s |             True |
| 67 |       23 |    40 |                    0 |        115.208804607s |       1.772170067s |            False |
| 68 |       23 |    40 |                    0 |         92.914997339s |       1.914355993s |             True |
| 69 |       23 |    40 |                    0 |         75.554860830s |       1.677774429s |            False |
| 70 |       23 |    40 |                    0 |        102.914071083s |       1.637589455s |             True |
| 71 |       24 |    40 |                    0 |        154.834041357s |       2.634288549s |             True |
| 72 |       24 |    40 |                    0 |        252.027057409s |       3.117935419s |             True |
| 73 |       24 |    40 |                    0 |        159.184052229s |       1.852096081s |             True |
| 74 |       24 |    40 |                    0 |        188.859024286s |       2.412763834s |             True |
| 75 |       24 |    40 |                    0 |        207.121528387s |       1.912313223s |             True |
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+
