Experiment 3 & 4 (Number of edges)
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+
|  # | Vertices | Edges | Unconnected Vertices | Exhaustive Time Taken | Genetic Time Taken | Genetic Accuracy |
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+
|  1 |       20 |    30 |                    0 |          9.553617954s |       1.729376078s |             True |
|  2 |       20 |    30 |                    0 |          9.444776297s |       0.759932995s |             True |
|  3 |       20 |    30 |                    0 |         11.926105738s |       1.210761786s |             True |
|  4 |       20 |    30 |                    0 |          6.168532133s |       1.597730398s |            False |
|  5 |       20 |    30 |                    0 |          4.199769735s |       0.819810867s |             True |
|  6 |       20 |    33 |                    0 |          7.033191442s |       0.229386091s |            False |
|  7 |       20 |    33 |                    0 |          6.369964361s |       0.802853584s |             True |
|  8 |       20 |    33 |                    0 |          8.170149326s |       0.814821243s |            False |
|  9 |       20 |    33 |                    0 |          9.179451227s |       0.960430622s |             True |
| 10 |       20 |    33 |                    0 |         10.417145967s |       0.224395990s |             True |
| 11 |       20 |    36 |                    0 |         12.326034546s |       1.789217234s |            False |
| 12 |       20 |    36 |                    0 |          6.214380026s |       1.561794281s |             True |
| 13 |       20 |    36 |                    0 |         10.684455633s |       1.615677595s |             True |
| 14 |       20 |    36 |                    0 |         12.227270603s |       0.741019487s |             True |
| 15 |       20 |    36 |                    0 |         11.877264023s |       0.937493801s |            False |
| 16 |       20 |    39 |                    0 |         10.231637239s |       1.773258686s |             True |
| 17 |       20 |    39 |                    0 |          7.560750246s |       1.499020100s |            False |
| 18 |       20 |    39 |                    0 |         13.073009729s |       1.579803944s |             True |
| 19 |       20 |    39 |                    0 |          8.895210981s |       1.149924755s |             True |
| 20 |       20 |    39 |                    0 |          6.740972757s |       1.613655567s |             True |
| 21 |       20 |    42 |                    0 |          7.910843372s |       1.646631002s |             True |
| 22 |       20 |    42 |                    0 |          9.378883362s |       1.548857927s |             True |
| 23 |       20 |    42 |                    0 |         11.028505564s |       1.360362053s |             True |
| 24 |       20 |    42 |                    0 |         12.477629423s |       1.613716841s |             True |
| 25 |       20 |    42 |                    0 |          8.656850100s |       1.596728563s |             True |
| 26 |       20 |    45 |                    0 |          9.147536278s |       0.965418339s |            False |
| 27 |       20 |    45 |                    0 |         13.469977856s |       0.942479372s |             True |
| 28 |       20 |    45 |                    0 |         11.006569862s |       1.905868053s |             True |
| 29 |       20 |    45 |                    0 |          6.889606714s |       1.169839621s |             True |
| 30 |       20 |    45 |                    0 |         11.470324516s |       1.979706526s |            False |
| 31 |       20 |    48 |                    0 |         15.988271236s |       1.682500839s |            False |
| 32 |       20 |    48 |                    0 |         12.007883072s |       1.911888361s |            False |
| 33 |       20 |    48 |                    0 |         13.616585732s |       0.921539783s |             True |
| 34 |       20 |    48 |                    0 |         13.954674482s |       0.977355957s |             True |
| 35 |       20 |    48 |                    0 |         13.731309175s |       1.920832872s |            False |
| 36 |       20 |    51 |                    0 |         12.850664377s |       1.645596504s |             True |
| 37 |       20 |    51 |                    0 |         15.719929934s |       1.655601740s |             True |
| 38 |       20 |    51 |                    0 |         13.246546268s |       1.857033491s |             True |
| 39 |       20 |    51 |                    0 |         14.548123837s |       1.928839445s |             True |
| 40 |       20 |    51 |                    0 |         13.255522728s |       1.651612043s |             True |
| 41 |       20 |    54 |                    0 |         14.173094988s |       0.975364208s |             True |
| 42 |       20 |    54 |                    0 |         12.211375475s |       1.874951601s |             True |
| 43 |       20 |    54 |                    0 |          8.930117846s |       1.283568382s |             True |
| 44 |       20 |    54 |                    0 |         13.095975637s |       1.831132889s |             True |
| 45 |       20 |    54 |                    0 |         14.092283010s |       2.027606487s |            False |
| 46 |       20 |    57 |                    0 |         12.860609531s |       1.870003462s |             True |
| 47 |       20 |    57 |                    0 |         10.821202278s |       2.364703417s |             True |
| 48 |       20 |    57 |                    0 |         13.269514561s |       1.823124409s |             True |
| 49 |       20 |    57 |                    0 |         13.219646692s |       1.850051880s |             True |
| 50 |       20 |    57 |                    0 |         11.962009668s |       1.892937660s |             True |
| 51 |       20 |    60 |                    0 |         13.241588116s |       1.803183794s |             True |
| 52 |       20 |    60 |                    0 |         12.821705341s |       1.786222458s |            False |
| 53 |       20 |    60 |                    0 |         13.736264467s |       1.754309416s |             True |
| 54 |       20 |    60 |                    0 |         12.066699982s |       2.386617661s |             True |
| 55 |       20 |    60 |                    0 |         13.644538403s |       2.185126066s |             True |
| 56 |       20 |    63 |                    0 |         10.923786402s |       2.099386454s |            False |
| 57 |       20 |    63 |                    0 |         13.078024149s |       2.071491957s |            False |
| 58 |       20 |    63 |                    0 |         12.923439503s |       1.563788652s |            False |
